,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,converteu
7,- D ate R$ 4000,831,2364,380041,866578,0.35152284263959394,0.4385537135722347,-0.08703087093264078,0.08703087093264078,1.0
514,- MALE c 35-44 anos ES SUDESTE,83,128,486537,866578,0.6484375,0.5614462864277653,0.08699121357223472,0.08699121357223472,0.0
514,- MALE c 35-44 anos ES,83,128,486537,866578,0.6484375,0.5614462864277653,0.08699121357223472,0.08699121357223472,0.0
437,- MALE a ate 24 anos RS,59,91,486537,866578,0.6483516483516484,0.5614462864277653,0.0869053619238831,0.0869053619238831,0.0
437,- MALE a ate 24 anos RS SUL,59,91,486537,866578,0.6483516483516484,0.5614462864277653,0.0869053619238831,0.0869053619238831,0.0
115,- FEMALE a ate 24 anos CE NORDESTE,186,354,380041,866578,0.5254237288135594,0.4385537135722347,0.08687001524132465,0.08687001524132465,1.0
115,- FEMALE a ate 24 anos CE,186,354,380041,866578,0.5254237288135594,0.4385537135722347,0.08687001524132465,0.08687001524132465,1.0
114,- FEMALE a ate 24 anos CE,168,354,486537,866578,0.4745762711864407,0.5614462864277653,-0.0868700152413246,0.0868700152413246,0.0
114,- FEMALE a ate 24 anos CE NORDESTE,168,354,486537,866578,0.4745762711864407,0.5614462864277653,-0.0868700152413246,0.0868700152413246,0.0
335,- FEMALE b 25-34 anos MG SUDESTE Casado,57,88,486537,866578,0.6477272727272727,0.5614462864277653,0.08628098629950742,0.08628098629950742,0.0
291,- FEMALE b 25-34 anos BA NORDESTE Casado,62,176,380041,866578,0.3522727272727273,0.4385537135722347,-0.08628098629950742,0.08628098629950742,1.0
290,- FEMALE b 25-34 anos BA NORDESTE Casado,114,176,486537,866578,0.6477272727272727,0.5614462864277653,0.08628098629950742,0.08628098629950742,0.0
18,- AGRÔNOMO,181,280,486537,866578,0.6464285714285715,0.5614462864277653,0.08498228500080618,0.08498228500080618,0.0
19,- AGRÔNOMO,99,280,380041,866578,0.3535714285714286,0.4385537135722347,-0.08498228500080612,0.08498228500080612,1.0
303,- OPERADOR DE TELEMARKETING,133,206,486537,866578,0.6456310679611651,0.5614462864277653,0.08418478153339981,0.08418478153339981,0.0
304,- OPERADOR DE TELEMARKETING,73,206,380041,866578,0.35436893203883496,0.4385537135722347,-0.08418478153339976,0.08418478153339976,1.0
9,- E ate R$ 5000,756,2124,380041,866578,0.3559322033898305,0.4385537135722347,-0.08262151018240421,0.08262151018240421,1.0
8,- E ate R$ 5000,1368,2124,486537,866578,0.6440677966101694,0.5614462864277653,0.08262151018240416,0.08262151018240416,0.0
427,- MALE a ate 24 anos PR SUL,76,118,486537,866578,0.6440677966101694,0.5614462864277653,0.08262151018240416,0.08262151018240416,0.0
427,- MALE a ate 24 anos PR,76,118,486537,866578,0.6440677966101694,0.5614462864277653,0.08262151018240416,0.08262151018240416,0.0
2,- b 1-2 anos de conta,12822,19919,486537,866578,0.6437070134042874,0.5614462864277653,0.08226072697652209,0.08226072697652209,0.0
3,- b 1-2 anos de conta,7097,19919,380041,866578,0.3562929865957126,0.4385537135722347,-0.08226072697652209,0.08226072697652209,1.0
312,- FEMALE e 55-64 anos BA,90,140,486537,866578,0.6428571428571429,0.5614462864277653,0.08141085642937762,0.08141085642937762,0.0
312,- FEMALE e 55-64 anos BA NORDESTE,90,140,486537,866578,0.6428571428571429,0.5614462864277653,0.08141085642937762,0.08141085642937762,0.0
9262,- MALE b 25-34 anos CE NORDESTE Solteiro AUTÔNOMO,72,112,486537,866578,0.6428571428571429,0.5614462864277653,0.08141085642937762,0.08141085642937762,0.0
8,- e 55-64 anos,695,1082,486537,866578,0.6423290203327172,0.5614462864277653,0.08088273390495193,0.08088273390495193,0.0
9,- e 55-64 anos,387,1082,380041,866578,0.3576709796672828,0.4385537135722347,-0.08088273390495193,0.08088273390495193,1.0
1296,- MALE b 25-34 anos RN NORDESTE Solteiro,131,204,486537,866578,0.6421568627450981,0.5614462864277653,0.0807105763173328,0.0807105763173328,0.0
1297,- MALE b 25-34 anos RN NORDESTE Solteiro,73,204,380041,866578,0.35784313725490197,0.4385537135722347,-0.08071057631733275,0.08071057631733275,1.0
13,- FEMALE c 35-44 anos,1758,2741,486537,866578,0.6413717621306093,0.5614462864277653,0.07992547570284403,0.07992547570284403,0.0
14,- FEMALE c 35-44 anos,983,2741,380041,866578,0.35862823786939074,0.4385537135722347,-0.07992547570284397,0.07992547570284397,1.0
33,- PI,185,514,380041,866578,0.35992217898832685,0.4385537135722347,-0.07863153458390787,0.07863153458390787,1.0
32,- PI,329,514,486537,866578,0.6400778210116731,0.5614462864277653,0.07863153458390781,0.07863153458390781,0.0
425,- SUPERVISOR DE VENDAS,64,100,486537,866578,0.64,0.5614462864277653,0.07855371357223473,0.07855371357223473,0.0
9,- e Ensino superior incompleto,1898,5272,380041,866578,0.3600151745068285,0.4385537135722347,-0.0785385390654062,0.0785385390654062,1.0
8,- e Ensino superior incompleto,3374,5272,486537,866578,0.6399848254931715,0.5614462864277653,0.0785385390654062,0.0785385390654062,0.0
410,- MALE a ate 24 anos GO CENTRO-OESTE,58,161,380041,866578,0.36024844720496896,0.4385537135722347,-0.07830526636726576,0.07830526636726576,1.0
409,- MALE a ate 24 anos GO CENTRO-OESTE,103,161,486537,866578,0.639751552795031,0.5614462864277653,0.07830526636726576,0.07830526636726576,0.0
410,- MALE a ate 24 anos GO,58,161,380041,866578,0.36024844720496896,0.4385537135722347,-0.07830526636726576,0.07830526636726576,1.0
409,- MALE a ate 24 anos GO,103,161,486537,866578,0.639751552795031,0.5614462864277653,0.07830526636726576,0.07830526636726576,0.0
7,- d 45-54 anos,1056,2930,380041,866578,0.3604095563139932,0.4385537135722347,-0.07814415725824153,0.07814415725824153,1.0
6,- d 45-54 anos,1874,2930,486537,866578,0.6395904436860068,0.5614462864277653,0.07814415725824153,0.07814415725824153,0.0
1067,- MALE a ate 24 anos GO CENTRO-OESTE Solteiro,94,147,486537,866578,0.6394557823129252,0.5614462864277653,0.07800949588515993,0.07800949588515993,0.0
1068,- MALE a ate 24 anos GO CENTRO-OESTE Solteiro,53,147,380041,866578,0.36054421768707484,0.4385537135722347,-0.07800949588515987,0.07800949588515987,1.0
168,- FEMALE b 25-34 anos CE,185,513,380041,866578,0.36062378167641324,0.4385537135722347,-0.07792993189582148,0.07792993189582148,1.0
168,- FEMALE b 25-34 anos CE NORDESTE,185,513,380041,866578,0.36062378167641324,0.4385537135722347,-0.07792993189582148,0.07792993189582148,1.0
167,- FEMALE b 25-34 anos CE,328,513,486537,866578,0.6393762183235867,0.5614462864277653,0.07792993189582142,0.07792993189582142,0.0
167,- FEMALE b 25-34 anos CE NORDESTE,328,513,486537,866578,0.6393762183235867,0.5614462864277653,0.07792993189582142,0.07792993189582142,0.0
98,- CHEFE DE COZINHA,57,158,380041,866578,0.36075949367088606,0.4385537135722347,-0.07779421990134866,0.07779421990134866,1.0
